coordinate,name,borough
"POINT(-73.8949875877505, 40.74648746069059)",ROOSEVELT AVE BRDGE OVER I-278,Queens
"POINT(-73.89461213288048, 40.74475806226679)",41 AVENUE OVER I-278 BQE,Queens
"POINT(-73.83702879240852, 40.76261517948346)",FLUSHING BRIDGE EB RB,Queens
"POINT(-73.8368789038049, 40.762785799397406)",FLUSHING BRIDGE WB RB,Queens
"POINT(-73.90037197492028, 40.712719429731514)",METROPOLITAN AVENUE OVER LIRR,Queens
"POINT(-73.94965727829683, 40.74134709047407)",51 AVENUE PED BRIDGE OVER LIRR,Queens
"POINT(-73.85590041105723, 40.723516304631595)",67 AVENUE PED BRIDGE OVER LIRR,Queens
"POINT(-73.87410537490389, 40.742960637033825)",91 PLACE OVER LIRR PT WASH BR,Queens
"POINT(-73.95072222706568, 40.75521971292975)",ED KOCH QUEENSBORO,Queens
"POINT(-73.96874252263352, 40.71245792059979)",WILLIAMSBURG BRIDGE BK BOUND,Brooklyn
"POINT(-73.98925383147564, 40.70504895187241)",MANHATTAN BRIDGE NB RB,Brooklyn
"POINT(-73.98952615544583, 40.70505221024779)",MANHATTAN BRIDGE SB RB,Brooklyn
"POINT(-73.97582595084587, 40.714778407722676)",WILLIAMSBURG BRIDGE WB RB,Manhattan
"POINT(-73.97593234875725, 40.71464715893152)",WILLIAMSBURG BRIDGE EB RB,Manhattan
