Demographic;Borough;Cohort;Total Cohort;Total Grads - n;Total Grads - % of cohort;Total Regents - n;Total Regents - % of cohort;Total Regents - % of grads;Advanced Regents - n;Advanced Regents - % of cohort;Advanced Regents - % of grads;Regents w/o Advanced - n;Regents w/o Advanced - % of cohort;Regents w/o Advanced - % of grads;Local - n;Local - % of cohort;Local - % of grads;Still Enrolled - n;Still Enrolled - % of cohort;Dropped Out - n;Dropped Out - % of cohort
English Proficient Students;Brooklyn;2006;19,996;12,135;60.7;9,799;49;80.7;3,531;17.7;29.1;6,268;31.3;51.7;2,336;11.7;19.3;4,872;24.4;2,298;11.5
English Proficient Students;Brooklyn;Aug 2006;19,996;13,055;65.3;10,271;51.4;78.7;3,575;17.9;27.4;6,696;33.5;51.3;2,784;13.9;21.3;3,967;19.8;2,283;11.4
English Proficient Students;Manhattan;2001;10,714;6,789;63.4;4,726;44.1;69.6;1,802;16.8;26.5;2,924;27.3;43.1;2,065;19.3;30.4;2,237;20.9;1,435;13.4
English Proficient Students;Manhattan;2002;12,066;7,415;61.5;5,364;44.5;72.3;1,855;15.4;25;3,509;29.1;47.3;2,057;17;27.7;2,951;24.5;1,351;11.2
English Proficient Students;Manhattan;2003;12,118;7,124;58.8;5,304;43.8;74.5;2,476;20.4;34.8;2,828;23.3;39.7;1,820;15;25.5;3,489;28.8;1,276;10.5
English Proficient Students;Manhattan;2004;13,273;8,082;60.9;6,105;46;75.5;2,687;20.2;33.2;3,418;25.8;42.3;1,977;14.9;24.5;3,506;26.4;1,491;11.2
English Proficient Students;Manhattan;2005;13,934;9,001;64.6;7,161;51.4;79.6;2,525;18.1;28.1;4,636;33.3;51.5;1,840;13.2;20.4;3,237;23.2;1,232;8.8
English Proficient Students;Manhattan;2006;14,439;9,594;66.4;8,152;56.5;85;2,612;18.1;27.2;5,540;38.4;57.7;1,442;10;15;3,076;21.3;1,273;8.8
English Proficient Students;Manhattan;Aug 2006;14,439;10,066;69.7;8,417;58.3;83.6;2,622;18.2;26;5,795;40.1;57.6;1,649;11.4;16.4;2,614;18.1;1,264;8.8
English Proficient Students;Queens;2001;14,322;8,307;58;6,090;42.5;73.3;2,558;17.9;30.8;3,532;24.7;42.5;2,226;15.5;26.8;3,656;25.5;2,023;14.1
English Proficient Students;Queens;2002;16,299;9,393;57.6;7,027;43.1;74.8;2,779;17.1;29.6;4,248;26.1;45.2;2,370;14.5;25.2;4,172;25.6;2,202;13.5
English Proficient Students;Queens;2003;16,288;9,876;60.6;7,603;46.7;77;3,283;20.2;33.2;4,320;26.5;43.7;2,273;14;23;4,012;24.6;2,097;12.9
English Proficient Students;Queens;2004;16,269;10,003;61.5;7,913;48.6;79.1;3,421;21;34.2;4,492;27.6;44.9;2,090;12.8;20.9;4,044;24.9;1,982;12.2
English Proficient Students;Queens;2005;17,003;10,814;63.6;8,660;50.9;80.1;3,416;20.1;31.6;5,244;30.8;48.5;2,154;12.7;19.9;3,608;21.2;1,919;11.3
English Proficient Students;Queens;2006;16,960;11,297;66.6;9,492;56;84;3,442;20.3;30.5;6,050;35.7;53.6;1,805;10.6;16;3,440;20.3;1,759;10.4
English Proficient Students;Queens;Aug 2006;16,960;12,050;71;9,896;58.3;82.1;3,474;20.5;28.8;6,422;37.9;53.3;2,154;12.7;17.9;2,691;15.9;1,755;10.3
English Proficient Students;Staten Island;2001;3,701;2,523;68.2;1,885;50.9;74.7;872;23.6;34.6;1,013;27.4;40.2;639;17.3;25.3;708;19.1;379;10.2
English Proficient Students;Staten Island;2002;3,981;2,680;67.3;2,023;50.8;75.5;857;21.5;32;1,166;29.3;43.5;659;16.6;24.6;780;19.6;387;9.7
English Proficient Students;Staten Island;2003;4,017;2,738;68.2;2,123;52.9;77.5;878;21.9;32.1;1,245;31;45.5;615;15.3;22.5;846;21.1;338;8.4
English Proficient Students;Staten Island;2004;3,989;2,752;69;2,205;55.3;80.1;1,027;25.7;37.3;1,178;29.5;42.8;547;13.7;19.9;774;19.4;343;8.6
English Proficient Students;Staten Island;2005;4,273;3,039;71.1;2,442;57.1;80.4;1,056;24.7;34.7;1,386;32.4;45.6;597;14;19.6;699;16.4;321;7.5
English Proficient Students;Staten Island;2006;4,450;3,272;73.5;2,774;62.3;84.8;1,179;26.5;36;1,595;35.8;48.7;498;11.2;15.2;643;14.4;390;8.8
English Proficient Students;Staten Island;Aug 2006;4,450;3,344;75.1;2,811;63.2;84.1;1,181;26.5;35.3;1,630;36.6;48.7;533;12;15.9;572;12.9;389;8.7
Special Education;Bronx;2001;2,259;309;13.7;40;1.8;12.9;6;0.3;1.9;34;1.5;11;271;12;87.7;561;24.8;866;38.3
Special Education;Bronx;2002;1,594;255;16;41;2.6;16.1;1;0.1;0.4;40;2.5;15.7;214;13.4;83.9;580;36.4;489;30.7
Special Education;Bronx;2003;2,273;362;15.9;60;2.6;16.6;8;0.4;2.2;52;2.3;14.4;302;13.3;83.4;1,022;45;593;26.1
Special Education;Bronx;2004;2,388;518;21.7;127;5.3;24.5;15;0.6;2.9;112;4.7;21.6;391;16.4;75.5;947;39.7;553;23.2
Special Education;Bronx;2005;2,665;585;22;200;7.5;34.2;16;0.6;2.7;184;6.9;31.5;385;14.4;65.8;1,017;38.2;588;22.1
Special Education;Bronx;2006;2,889;741;25.6;261;9;35.2;17;0.6;2.3;244;8.4;32.9;480;16.6;64.8;988;34.2;655;22.7
Special Education;Bronx;Aug 2006;2,889;818;28.3;272;9.4;33.3;17;0.6;2.1;255;8.8;31.2;546;18.9;66.7;914;31.6;652;22.6
Special Education;Brooklyn;2001;2,702;402;14.9;69;2.6;17.2;11;0.4;2.7;58;2.1;14.4;339;12.5;84.3;869;32.2;947;35
Special Education;Brooklyn;2002;2,169;325;15;79;3.6;24.3;13;0.6;4;66;3;20.3;246;11.3;75.7;918;42.3;584;26.9
Special Education;Brooklyn;2003;2,796;469;16.8;118;4.2;25.2;30;1.1;6.4;88;3.1;18.8;351;12.6;74.8;1,417;50.7;650;23.2
Special Education;Brooklyn;2004;3,066;603;19.7;185;6;30.7;35;1.1;5.8;150;4.9;24.9;418;13.6;69.3;1,323;43.2;649;21.2
Special Education;Brooklyn;2005;3,021;649;21.5;217;7.2;33.4;41;1.4;6.3;176;5.8;27.1;432;14.3;66.6;1,254;41.5;649;21.5
Special Education;Brooklyn;2006;3,183;789;24.8;310;9.7;39.3;43;1.4;5.4;267;8.4;33.8;479;15;60.7;1,289;40.5;666;20.9
Special Education;Brooklyn;Aug 2006;3,183;893;28.1;329;10.3;36.8;46;1.4;5.2;283;8.9;31.7;564;17.7;63.2;1,188;37.3;663;20.8
Special Education;Manhattan;2001;1,586;292;18.4;58;3.7;19.9;5;0.3;1.7;53;3.3;18.2;235;14.8;80.5;407;25.7;553;34.9
Special Education;Manhattan;2002;1,159;234;20.2;76;6.6;32.5;10;0.9;4.3;66;5.7;28.2;158;13.6;67.5;471;40.6;303;26.1
Special Education;Manhattan;2003;1,503;281;18.7;90;6;32;18;1.2;6.4;72;4.8;25.6;191;12.7;68;728;48.4;333;22.2
Special Education;Manhattan;2004;1,847;454;24.6;163;8.8;35.9;21;1.1;4.6;142;7.7;31.3;291;15.8;64.1;758;41;418;22.6
Special Education;Manhattan;2005;1,916;514;26.8;202;10.5;39.3;20;1;3.9;182;9.5;35.4;312;16.3;60.7;754;39.4;382;19.9
Special Education;Manhattan;2006;2,170;686;31.6;327;15.1;47.7;26;1.2;3.8;301;13.9;43.9;359;16.5;52.3;774;35.7;424;19.5
Special Education;Manhattan;Aug 2006;2,170;722;33.3;335;15.4;46.4;26;1.2;3.6;309;14.2;42.8;387;17.8;53.6;738;34;424;19.5
Special Education;Queens;2001;1,999;419;21;63;3.2;15;14;0.7;3.3;49;2.5;11.7;359;18;85.7;559;28;643;32.2
Special Education;Queens;2002;1,366;294;21.5;75;5.5;25.5;8;0.6;2.7;67;4.9;22.8;219;16;74.5;500;36.6;385;28.2
Special Education;Queens;2003;1,782;343;19.2;72;4;21;8;0.4;2.3;64;3.6;18.7;271;15.2;79;900;50.5;379;21.3
Special Education;Queens;2004;2,099;495;23.6;171;8.1;34.5;28;1.3;5.7;143;6.8;28.9;324;15.4;65.5;908;43.3;442;21.1
Special Education;Queens;2005;2,366;629;26.6;232;9.8;36.9;21;0.9;3.3;211;8.9;33.5;397;16.8;63.1;930;39.3;502;21.2
Special Education;Queens;2006;2,345;643;27.4;259;11;40.3;29;1.2;4.5;230;9.8;35.8;384;16.4;59.7;952;40.6;489;20.9
Special Education;Queens;Aug 2006;2,345;736;31.4;274;11.7;37.2;30;1.3;4.1;244;10.4;33.2;462;19.7;62.8;860;36.7;488;20.8
Special Education;Staten Island;2001;622;184;29.6;26;4.2;14.1;2;0.3;1.1;24;3.9;13;158;25.4;85.9;184;29.6;160;25.7
Special Education;Staten Island;2002;475;158;33.3;28;5.9;17.7;3;0.6;1.9;25;5.3;15.8;131;27.6;82.9;180;37.9;91;19.2
Special Education;Staten Island;2003;636;174;27.4;52;8.2;29.9;8;1.3;4.6;44;6.9;25.3;122;19.2;70.1;308;48.4;88;13.8
Special Education;Staten Island;2004;712;216;30.3;73;10.3;33.8;12;1.7;5.6;61;8.6;28.2;143;20.1;66.2;256;36;118;16.6
Special Education;Staten Island;2005;777;283;36.4;107;13.8;37.8;15;1.9;5.3;92;11.8;32.5;176;22.7;62.2;256;32.9;127;16.3
Special Education;Staten Island;2006;778;308;39.6;113;14.5;36.7;13;1.7;4.2;100;12.9;32.5;195;25.1;63.3;240;30.8;141;18.1
Special Education;Staten Island;Aug 2006;778;321;41.3;117;15;36.4;13;1.7;4;104;13.4;32.4;204;26.2;63.6;227;29.2;141;18.1
General Education;Bronx;2001;9,194;4,604;50.1;2,604;28.3;56.6;992;10.8;21.5;1,612;17.5;35;2,000;21.8;43.4;2,951;32.1;1,572;17.1
General Education;Bronx;2002;10,438;5,073;48.6;3,077;29.5;60.7;991;9.5;19.5;2,086;20;41.1;2,003;19.2;39.5;3,467;33.2;1,651;15.8
General Education;Bronx;2003;11,359;6,027;53.1;3,801;33.5;63.1;1,247;11;20.7;2,554;22.5;42.4;2,226;19.6;36.9;3,236;28.5;1,879;16.5
General Education;Bronx;2004;11,976;6,930;57.9;4,498;37.6;64.9;1,380;11.5;19.9;3,118;26;45;2,432;20.3;35.1;3,222;26.9;1,750;14.6
General Education;Bronx;2005;12,510;7,644;61.1;5,418;43.3;70.9;1,528;12.2;20;3,890;31.1;50.9;2,226;17.8;29.1;2,926;23.4;1,559;12.5
General Education;Bronx;2006;12,690;7,783;61.3;6,051;47.7;77.7;1,541;12.1;19.8;4,510;35.5;57.9;1,732;13.6;22.3;2,836;22.3;1,747;13.8
General Education;Bronx;Aug 2006;12,690;8,397;66.2;6,333;49.9;75.4;1,555;12.3;18.5;4,778;37.7;56.9;2,064;16.3;24.6;2,246;17.7;1,723;13.6
General Education;Brooklyn;2001;17,259;9,356;54.2;6,108;35.4;65.3;2,818;16.3;30.1;3,290;19.1;35.2;3,252;18.8;34.8;5,232;30.3;2,600;15.1
General Education;Brooklyn;2002;18,639;10,012;53.7;6,971;37.4;69.6;2,852;15.3;28.5;4,119;22.1;41.1;3,052;16.4;30.5;5,450;29.2;2,785;14.9
General Education;Brooklyn;2003;18,538;10,595;57.2;7,593;41;71.7;3,209;17.3;30.3;4,384;23.6;41.4;3,002;16.2;28.3;5,154;27.8;2,548;13.7
General Education;Brooklyn;2004;19,287;11,700;60.7;8,687;45;74.2;3,706;19.2;31.7;4,981;25.8;42.6;3,013;15.6;25.8;5,164;26.8;2,324;12
